tool, cwe_checker, cve-bin-tool
xfce4-clipman-history,  2, 0
xfce4-clipman-settings,  2, 0
xfce4-color-settings,  11, 0
xfce4-display-settings,  20, 0
xfce4-keyboard-settings,  2, 0
xfce4-mime-helper,  1, 0
xfce4-mime-settings,  2, 0
xfce4-mouse-settings,  4, 0
xfce4-notifyd-config,  1, 0
xfce4-panel,  9, 0
xfce4-power-manager,  7, 0
xfce4-power-manager-settings,  3, 0
xfce4-screenshooter,  6, 0
xfce4-session,  42, 0
xfce4-session-settings,  14, 0
xfce4-settings-editor,  2, 0
xfce4-taskmanager,  8, 0
xfdesktop,  48, 0
xfdesktop-settings,  7, 0
xfreerdp,  25, 0
xfsettingsd,  18, 0
xfwm4,  71, 0
xfwm4-settings,  4, 0
xfwm4-tweaks-settings,  0, 0
xfwm4-workspace-settings,  1, 0
xgc,  15, 0
xhydra,  24, 0
xkbcomp,  97, 0
xkbprint,  9, 0
xmag,  0, 0
xman,  34, 0
xmllint,  14, 0
xprop,  23, 0
xrandr,  28, 0
xsm,  89, 0
Xtightvnc,  915, 0
xtightvncviewer,  49, 0
Xvfb,  1201, 18
xwininfo,  12, 0
xz,  72, 0
yasm,  96, 0
ytasm,  94, 0
zenith,  0, 0
zenity,  9, 0
zip,  346, 0
zipcloak,  263, 0
zipinfo,  97, 0
zipnote,  248, 0
zipsplit,  238, 0
zsh,  720, 0
[,  30, 0
