,binary,cwe_checker,yara_rules,cve_bin_tool,size,compiler,static,domain
348,numfmt,42,0,0,68576,Unk,FALSE,System
349,obexctl,58,0,0,182576,Unk,FALSE,Network
350,objcopy,124,4,0,1343096,gcc(GNU),TRUE,System
351,objdump,146,4,0,2282744,gcc(GNU),TRUE,System
352,od,35,0,0,72640,Unk,FALSE,System
353,onesixtyone,9,0,0,161952,Unk,FALSE,Network
354,openfortivpn,97,0,18,108616,Unk,FALSE,Network
355,openssl,113,3,5,736792,Unk,FALSE,Network
356,ophcrack,312,3,0,441448,gcc(3.X),FALSE,System
357,ophcrack-cli,283,3,0,154568,Unk,FALSE,System
358,out123,72,0,0,67760,Unk,FALSE,System
359,pacat,3,0,0,51472,Unk,FALSE,System
360,packetforge-ng,71,3,0,76008,Unk,FALSE,Network
361,packetq,87,2,0,535688,gcc(Alpine),FALSE,Network
362,pactl,3,0,0,71928,Unk,FALSE,Network
363,parole,41,0,20,410560,Unk,FALSE,System
364,partx,76,0,0,116976,Unk,FALSE,System
365,passwd,26,0,0,63960,Unk,FALSE,System
366,patch,162,0,0,191936,Unk,FALSE,System
367,pavucontrol,10,0,0,485576,gcc(3.X),FALSE,System
368,perl,1606,2,0,3677056,Unk,FALSE,System
370,perror,244,1,0,3788288,Unk,FALSE,System
371,photorec,244,5,0,633624,Unk,FALSE,System
372,pic,97,0,0,225472,gcc(3.X),FALSE,System
373,pidstat,46,0,0,72000,Unk,FALSE,System
375,pinentry-gnome3,74,0,0,76280,Unk,FALSE,System
376,ping,18,0,0,64424,Unk,FALSE,Network
377,pixiewps,34,2,0,96328,Unk,FALSE,Network
378,pmspike,121,2,0,63984,Unk,FALSE,System
379,post_fuzz,125,2,0,63992,Unk,FALSE,System
380,post_spike,128,2,0,63992,Unk,FALSE,System
381,pr,51,0,0,76896,Unk,FALSE,System
382,preconv,97,1,0,63848,gcc(3.X),FALSE,System
383,printf,23,0,0,60256,Unk,FALSE,System
384,procan,67,0,0,81776,Unk,FALSE,System
385,profiles,30,0,6,51352,Unk,FALSE,System
386,proxytunnel,70,1,0,52152,Unk,FALSE,Network
387,ps,100,0,0,133432,Unk,FALSE,System
388,pstat,206,1,0,285784,gcc(3.X),FALSE,System
389,pth-curl,392,3,51,624432,Unk,TRUE,Network
390,ptx,163,0,0,138336,Unk,FALSE,System
391,pulseaudio,2,0,18,96584,Unk,FALSE,Network
392,pv,10,0,0,136280,gcc(Alpine),FALSE,System
393,qt5ct,10,0,0,530832,gcc(3.X),FALSE,System
394,quake,117,2,0,63992,Unk,FALSE,Network
397,r2r,294,1,0,200880,Unk,FALSE,System
398,rabin2,254,1,0,155824,Unk,FALSE,System
404,ranlib,278,4,0,1195384,gcc(GNU),TRUE,System
408,rawshark,16,0,0,104520,Unk,FALSE,Network
410,rb,16,2,0,75136,Unk,FALSE,System
411,rctest,50,0,0,185992,Unk,FALSE,Network
412,rdesktop,480,4,0,534048,Unk,FALSE,Network
413,rdf2bin,56,2,0,96768,Unk,FALSE,System
414,rdma,63,0,0,133360,Unk,FALSE,System
415,readelf,53,0,0,656696,gcc(GNU),TRUE,System
416,readlink,25,0,0,52032,Unk,FALSE,System
417,realpath,27,0,0,56160,Unk,FALSE,System
418,rearj,59,1,0,62640,Unk,FALSE,System
419,reaver,268,9,0,835440,Unk,FALSE,Network
420,recordmydesktop,105,0,0,97824,Unk,FALSE,System
421,redir,21,0,0,84848,gcc(Alpine),FALSE,Network
422,rendercheck,42,0,0,57760,Unk,FALSE,System
423,replace,228,1,0,3569408,Unk,FALSE,System
424,resizepart,33,0,0,63720,Unk,FALSE,System
425,resolvectl,24,0,0,129400,Unk,FALSE,Network
426,resolveip,241,1,0,3586496,Unk,FALSE,Network
427,resolve_stack_dump,241,1,2,3586496,Unk,FALSE,System
428,rfcomm,36,0,0,152272,Unk,FALSE,Network
429,ristretto,4,0,0,262472,Unk,FALSE,System
430,rm,35,0,0,63704,Unk,FALSE,System
431,rmdir,26,0,0,52032,Unk,FALSE,System
432,rpcclient,267,0,6,1362264,Unk,FALSE,Network
433,rpcgen,80,0,0,97256,Unk,FALSE,Network
434,rsync,460,1,0,493096,Unk,FALSE,Network
435,rx,16,2,0,75136,Unk,FALSE,System
436,rz,16,2,0,75136,Unk,FALSE,System
437,sadf,217,0,0,424208,Unk,FALSE,System
